Fecha,Agricultura  ganadería y silvicultura,Administración pública,Salud y asistencia social
2014-09-01,1611144.718717077,1862772.2528738428,834297.302776168
2014-12-01,1660568.769808701,1890153.0984154642,843911.686854558
2015-03-01,1710205.056276968,1792503.7023781668,844763.124243879
2015-06-01,1715100.388306522,1814171.1643667854,851106.790042916
2015-09-01,1669577.1372589131,1830193.7106284346,883759.076883116
2015-12-01,1654859.3900703453,1877422.0362994443,878302.911687535
2016-03-01,1661695.453062402,1858991.9993585383,926547.772033765
2016-06-01,1665845.0565906258,1901063.5696609947,912650.468084897
2016-09-01,1681463.6537344202,1931121.4788029564,901464.28067809
2016-12-01,1723583.592021177,1959660.107555389,907138.249040143
2017-03-01,1777697.552422715,1978568.23584175,928908.761988919
2017-06-01,1757214.347525035,1986121.229643496,956411.71764276
2017-09-01,1697078.786386345,1977319.1800576032,987666.475899803
2017-12-01,1726671.9762158461,1998538.5942405397,997670.971469276
2018-03-01,1716123.2769125653,2006153.2726739123,1008908.47117121
2018-06-01,1710566.5936979982,2005849.8614758207,1021057.18560754
2018-09-01,1698185.7460648292,1999934.9144016658,1032739.39253141
2018-12-01,1765003.383324563,2008063.9514485616,1048450.95068965
2019-03-01,1698388.609949553,2017813.0746553391,1055135.88053867
2019-06-01,1756451.3159308345,1988215.7439733297,1061119.58398035
2019-09-01,1768887.985234099,1986049.654726375,1059270.15024377
2019-12-01,1786372.0888853255,2011076.526645176,1062238.38523717
2020-03-01,1811239.9687866163,2012076.8118946478,1058294.41518548
2020-06-01,1669921.41855896,1999477.5482703596,1046062.7212043
2020-09-01,1714180.624825242,1978512.2847783994,1052638.79597818
2020-12-01,1610360.987829195,1965174.3550549299,1056827.06763209
2021-03-01,1672383.075513928,1935139.4295455813,1061529.68738215
2021-06-01,1731073.962041565,1939732.1650710404,1078593.77941849
2021-09-01,1754687.8049901729,1948417.1912675798,1093205.19365749
2021-12-01,1830895.157453179,1964369.2141156793,1105324.33954177
2022-03-01,1700416.0285717314,1965262.1058399677,1114314.29396219
2022-06-01,1719321.440726913,2008398.975162387,1120291.99335992
2022-09-01,1705861.7005926473,2041547.303857565,1129490.72479349
2022-12-01,1830601.8301085588,2154592.615139246,1152793.98788421
2023-03-01,1873513.9555914449,2182586.098807335,1157312.00114678
2023-06-01,1932743.4636056533,2184091.52227664,1183599.76094609
2023-09-01,1965091.4322533465,2196584.149964094,1191200.50449444
2023-12-01,1938230.468532959,2201073.858253956,1197065.82771963
