Fecha,Impuestos Netos Sobre los Productos,Administración pública,Salud y asistencia social
2015-12-01,1479803.38783125,1877422.0362994443,878302.911687535
2016-03-01,1465950.03182406,1858991.9993585383,926547.772033765
2016-06-01,1383284.60568638,1901063.5696609947,912650.468084897
2016-09-01,1410949.04740901,1931121.4788029564,901464.28067809
2016-12-01,1430602.12773317,1959660.107555389,907138.249040143
2017-03-01,1368349.94239275,1978568.23584175,928908.761988919
2017-06-01,1588779.43344307,1986121.229643496,956411.71764276
2017-09-01,1448166.89312714,1977319.1800576032,987666.475899803
2017-12-01,1418292.28784732,1998538.5942405397,997670.971469276
2018-03-01,1479710.78166408,2006153.2726739123,1008908.47117121
2018-06-01,1466951.86220358,2005849.8614758207,1021057.18560754
2018-09-01,1527471.75084226,1999934.9144016658,1032739.39253141
2018-12-01,1536677.60529009,2008063.9514485616,1048450.95068965
2019-03-01,1697927.08531208,2017813.0746553391,1055135.88053867
2019-06-01,1782982.57065,1988215.7439733297,1061119.58398035
2019-09-01,1604335.01888657,1986049.654726375,1059270.15024377
2019-12-01,1505710.32515135,2011076.526645176,1062238.38523717
2020-03-01,1552409.0847283,2012076.8118946478,1058294.41518548
2020-06-01,1343562.38676759,1999477.5482703596,1046062.7212043
2020-09-01,1473884.04464618,1978512.2847783994,1052638.79597818
2020-12-01,1681121.48385793,1965174.3550549299,1056827.06763209
2021-03-01,1459043.78375338,1935139.4295455813,1061529.68738215
2021-06-01,1675594.02053153,1939732.1650710404,1078593.77941849
2021-09-01,1709691.68675351,1948417.1912675798,1093205.19365749
2021-12-01,1705664.50896159,1964369.2141156793,1105324.33954177
2022-03-01,1470398.92115097,1965262.1058399677,1114314.29396219
2022-06-01,1263169.95595898,2008398.975162387,1120291.99335992
2022-09-01,1361462.91337734,2041547.303857565,1129490.72479349
2022-12-01,1512743.20951272,2154592.615139246,1152793.98788421
2023-03-01,1520861.88829263,2182586.098807335,1157312.00114678
2023-06-01,2024402.44079542,2184091.52227664,1183599.76094609
2023-09-01,1643445.59126106,2196584.149964094,1191200.50449444
2023-12-01,1634023.75169693,2201073.858253956,1197065.82771963
