Fecha,Actividades profesionales  técnicas,Administración pública,Salud y asistencia social
2009-09-01,923837.489316398,1119719.5910389074,444393.050501687
2009-12-01,975874.464953494,1197580.9178599946,448492.398902035
2010-03-01,1043244.29264068,1169604.7391717664,485161.545710052
2010-06-01,1062775.06263462,1137188.9041693236,484675.376719535
2010-09-01,1099065.25475279,1166797.8729171357,506754.30691937
2010-12-01,1100352.9519531,1227410.7123623719,538726.51372884
2011-03-01,1159949.69462441,1196485.5347003487,536952.517354066
2011-06-01,1223770.18268576,1341978.4465468575,555005.834287488
2011-09-01,1295253.15074057,1330799.2801696341,565748.513859406
2011-12-01,1367350.85075033,1384887.9014895426,592407.51092425
2012-03-01,1367674.51529774,1412486.3313612645,604691.053609309
2012-06-01,1426662.31390447,1422471.8674704821,631911.471614488
2012-09-01,1450893.53070686,1457087.590776353,659233.682524576
2012-12-01,1461888.58450088,1539727.5147041585,743146.356696499
2013-03-01,1570216.55112331,1569192.4958537316,715227.754079296
2013-06-01,1589661.6223448,1602214.5199561375,753524.844696902
2013-09-01,1650543.07533973,1647337.841591684,773111.669100159
2013-12-01,1727337.85599492,1673087.7214898758,786039.350672294
2014-03-01,1743596.51335634,1740621.9621564886,730744.16514714
2014-06-01,1697580.39867795,1759658.2398450586,881342.23282678
2014-09-01,1792616.51898238,1862772.2528738428,834297.302776168
2014-12-01,1762689.51606108,1890153.0984154642,843911.686854558
2015-03-01,1740352.54429488,1792503.7023781668,844763.124243879
2015-06-01,1742536.45517343,1814171.1643667854,851106.790042916
2015-09-01,1695270.63573271,1830193.7106284346,883759.076883116
2015-12-01,1683235.09402286,1877422.0362994443,878302.911687535
2016-03-01,1623586.56939623,1858991.9993585383,926547.772033765
2016-06-01,1649845.68175426,1901063.5696609947,912650.468084897
2016-09-01,1620317.31289443,1931121.4788029564,901464.28067809
2016-12-01,1650459.37085487,1959660.107555389,907138.249040143
2017-03-01,1760543.95322171,1978568.23584175,928908.761988919
2017-06-01,1714768.767269,1986121.229643496,956411.71764276
2017-09-01,1748226.51964146,1977319.1800576032,987666.475899803
2017-12-01,1809632.89418738,1998538.5942405397,997670.971469276
2018-03-01,1868838.46159203,2006153.2726739123,1008908.47117121
2018-06-01,1970304.86438385,2005849.8614758207,1021057.18560754
2018-09-01,1999193.97103629,1999934.9144016658,1032739.39253141
2018-12-01,1930514.70298802,2008063.9514485616,1048450.95068965
2019-03-01,1934198.70568426,2017813.0746553391,1055135.88053867
2019-06-01,1939288.56438482,1988215.7439733297,1061119.58398035
2019-09-01,1925099.23486775,1986049.654726375,1059270.15024377
2019-12-01,1951757.4950639,2011076.526645176,1062238.38523717
2020-03-01,1943339.7947899,2012076.8118946478,1058294.41518548
2020-06-01,1272116.013585,1999477.5482703596,1046062.7212043
2020-09-01,1653261.53772291,1978512.2847783994,1052638.79597818
2020-12-01,1862685.65390316,1965174.3550549299,1056827.06763209
2021-03-01,1743970.44309995,1935139.4295455813,1061529.68738215
2021-06-01,1833584.41598469,1939732.1650710404,1078593.77941849
2021-09-01,1870312.79777251,1948417.1912675798,1093205.19365749
2021-12-01,1957430.34314122,1964369.2141156793,1105324.33954177
2022-03-01,1948122.93013257,1965262.1058399677,1114314.29396219
2022-06-01,1965171.51470214,2008398.975162387,1120291.99335992
2022-09-01,2018964.52603738,2041547.303857565,1129490.72479349
2022-12-01,2018752.02912682,2154592.615139246,1152793.98788421
2023-03-01,2105763.21682265,2182586.098807335,1157312.00114678
2023-06-01,2089990.2049652,2184091.52227664,1183599.76094609
2023-09-01,2082086.66502522,2196584.149964094,1191200.50449444
2023-12-01,2016044.25505735,2201073.858253956,1197065.82771963
