Fecha,Construcción,Administración pública,Salud y asistencia social
2011-03-01,783003.940265418,1196485.5347003487,536952.517354066
2011-06-01,879495.828999399,1341978.4465468575,555005.834287488
2011-09-01,964361.319214471,1330799.2801696341,565748.513859406
2011-12-01,1013425.2955588,1384887.9014895426,592407.51092425
2012-03-01,1002142.57141525,1412486.3313612645,604691.053609309
2012-06-01,1038879.69029386,1422471.8674704821,631911.471614488
2012-09-01,1086214.84721065,1457087.590776353,659233.682524576
2012-12-01,1211724.35335865,1539727.5147041585,743146.356696499
2013-03-01,1342987.17435362,1569192.4958537316,715227.754079296
2013-06-01,1454182.80594157,1602214.5199561375,753524.844696902
2013-09-01,1526423.89396253,1647337.841591684,773111.669100159
2013-12-01,1578615.3403181,1673087.7214898758,786039.350672294
2014-03-01,1548348.94464171,1740621.9621564886,730744.16514714
2014-06-01,1480513.8845245,1759658.2398450586,881342.23282678
2014-09-01,1521362.76351329,1862772.2528738428,834297.302776168
2014-12-01,1490754.57181541,1890153.0984154642,843911.686854558
2015-03-01,1452903.9196879,1792503.7023781668,844763.124243879
2015-06-01,1362062.14317104,1814171.1643667854,851106.790042916
2015-09-01,1332943.81549202,1830193.7106284346,883759.076883116
2015-12-01,1236253.99537996,1877422.0362994443,878302.911687535
2016-03-01,1220995.12510311,1858991.9993585383,926547.772033765
2016-06-01,1389003.10856264,1901063.5696609947,912650.468084897
2016-09-01,1353508.4719405,1931121.4788029564,901464.28067809
2016-12-01,1832244.0617419,1959660.107555389,907138.249040143
2017-03-01,1879540.97288572,1978568.23584175,928908.761988919
2017-06-01,1641105.4257166,1986121.229643496,956411.71764276
2017-09-01,1382102.80929777,1977319.1800576032,987666.475899803
2017-12-01,1571308.0705405,1998538.5942405397,997670.971469276
2018-03-01,1366875.1603768,2006153.2726739123,1008908.47117121
2018-06-01,1335943.15401953,2005849.8614758207,1021057.18560754
2018-09-01,1484486.18465182,1999934.9144016658,1032739.39253141
2018-12-01,1316501.50095128,2008063.9514485616,1048450.95068965
2019-03-01,1321793.01289963,2017813.0746553391,1055135.88053867
2019-06-01,1346820.42422234,1988215.7439733297,1061119.58398035
2019-09-01,1226530.46953182,1986049.654726375,1059270.15024377
2019-12-01,1229433.09334672,2011076.526645176,1062238.38523717
2020-03-01,1082860.95420945,2012076.8118946478,1058294.41518548
2020-06-01,596154.014529937,1999477.5482703596,1046062.7212043
2020-09-01,958767.259582908,1978512.2847783994,1052638.79597818
2020-12-01,980482.771677753,1965174.3550549299,1056827.06763209
2021-03-01,1088234.69421589,1935139.4295455813,1061529.68738215
2021-06-01,1050365.90080144,1939732.1650710404,1078593.77941849
2021-09-01,1076596.98390526,1948417.1912675798,1093205.19365749
2021-12-01,1102032.42107734,1964369.2141156793,1105324.33954177
2022-03-01,1099150.77853645,1965262.1058399677,1114314.29396219
2022-06-01,1192336.19219009,2008398.975162387,1120291.99335992
2022-09-01,1250428.58528728,2041547.303857565,1129490.72479349
2022-12-01,1208772.44398628,2154592.615139246,1152793.98788421
2023-03-01,1226705.09397934,2182586.098807335,1157312.00114678
2023-06-01,1283644.89345351,2184091.52227664,1183599.76094609
2023-09-01,1135459.2294225,2196584.149964094,1191200.50449444
2023-12-01,1049182.79229729,2201073.858253956,1197065.82771963
