Fecha,Refinados de petroleo,Administración pública,Salud y asistencia social
2009-06-01,311397.9955658139,1064412.0308683116,426528.747272894
2009-09-01,241199.4918524364,1119719.5910389074,444393.050501687
2009-12-01,188667.92380023695,1197580.9178599946,448492.398902035
2010-03-01,163517.00600569297,1169604.7391717664,485161.545710052
2010-06-01,168010.13539642905,1137188.9041693236,484675.376719535
2010-09-01,177881.7926905031,1166797.8729171357,506754.30691937
2010-12-01,247145.75593655225,1227410.7123623719,538726.51372884
2011-03-01,225122.29448417993,1196485.5347003487,536952.517354066
2011-06-01,173160.0640038291,1341978.4465468575,555005.834287488
2011-09-01,185569.66563436054,1330799.2801696341,565748.513859406
2011-12-01,129734.3834617076,1384887.9014895426,592407.51092425
2012-03-01,185599.7361942725,1412486.3313612645,604691.053609309
2012-06-01,213873.38559449688,1422471.8674704821,631911.471614488
2012-09-01,185667.19662611277,1457087.590776353,659233.682524576
2012-12-01,121465.67313970621,1539727.5147041585,743146.356696499
2013-03-01,53836.89021965332,1569192.4958537316,715227.754079296
2013-06-01,49480.428782627154,1602214.5199561375,753524.844696902
2013-09-01,182282.02359631038,1647337.841591684,773111.669100159
2013-12-01,192806.858803097,1673087.7214898758,786039.350672294
2014-03-01,131207.69342142998,1740621.9621564886,730744.16514714
2014-06-01,61737.0886229791,1759658.2398450586,881342.23282678
2014-09-01,39060.706544080684,1862772.2528738428,834297.302776168
2014-12-01,88656.63691996933,1890153.0984154642,843911.686854558
2015-03-01,215376.80086155477,1792503.7023781668,844763.124243879
2015-06-01,221672.79399382,1814171.1643667854,851106.790042916
2015-09-01,230995.50586277986,1830193.7106284346,883759.076883116
2015-12-01,254137.18291532475,1877422.0362994443,878302.911687535
2016-03-01,269249.20304511697,1858991.9993585383,926547.772033765
2016-06-01,258326.56072953754,1901063.5696609947,912650.468084897
2016-09-01,283298.73400459805,1931121.4788029564,901464.28067809
2016-12-01,290055.79444079177,1959660.107555389,907138.249040143
2017-03-01,326172.7665030677,1978568.23584175,928908.761988919
2017-06-01,315733.37559144164,1986121.229643496,956411.71764276
2017-09-01,336624.4697128104,1977319.1800576032,987666.475899803
2017-12-01,338684.72496758075,1998538.5942405397,997670.971469276
2018-03-01,383053.29217300506,2006153.2726739123,1008908.47117121
2018-06-01,347251.4754213925,2005849.8614758207,1021057.18560754
2018-09-01,384416.485474704,1999934.9144016658,1032739.39253141
2018-12-01,349622.74693082925,2008063.9514485616,1048450.95068965
2019-03-01,252461.91060211766,2017813.0746553391,1055135.88053867
2019-06-01,238977.0623592632,1988215.7439733297,1061119.58398035
2019-09-01,237622.41337394208,1986049.654726375,1059270.15024377
2019-12-01,202881.61366477143,2011076.526645176,1062238.38523717
2020-03-01,216148.66348589398,2012076.8118946478,1058294.41518548
2020-06-01,95111.3643349316,1999477.5482703596,1046062.7212043
2020-09-01,170331.62848449496,1978512.2847783994,1052638.79597818
2020-12-01,185387.34369472414,1965174.3550549299,1056827.06763209
2021-03-01,179895.5938308984,1935139.4295455813,1061529.68738215
2021-06-01,222315.9446280226,1939732.1650710404,1078593.77941849
2021-09-01,272357.57647468895,1948417.1912675798,1093205.19365749
2021-12-01,296364.88506643474,1964369.2141156793,1105324.33954177
2022-03-01,158997.4366363138,1965262.1058399677,1114314.29396219
2022-06-01,181563.38510882854,2008398.975162387,1120291.99335992
2022-09-01,178031.21985659003,2041547.303857565,1129490.72479349
2022-12-01,156200.95839825273,2154592.615139246,1152793.98788421
2023-03-01,164333.1986990124,2182586.098807335,1157312.00114678
2023-06-01,164335.3687338233,2184091.52227664,1183599.76094609
2023-09-01,132901.7768406868,2196584.149964094,1191200.50449444
2023-12-01,154146.0081370473,2201073.858253956,1197065.82771963
