Fecha,Pesca y acuicultura,Administración pública,Salud y asistencia social
2011-03-01,216013.93971213,1196485.5347003487,536952.517354066
2011-06-01,224361.759449782,1341978.4465468575,555005.834287488
2011-09-01,251088.58757742,1330799.2801696341,565748.513859406
2011-12-01,247091.933616211,1384887.9014895426,592407.51092425
2012-03-01,268975.775500624,1412486.3313612645,604691.053609309
2012-06-01,271759.720382707,1422471.8674704821,631911.471614488
2012-09-01,267655.098018476,1457087.590776353,659233.682524576
2012-12-01,268250.314095458,1539727.5147041585,743146.356696499
2013-03-01,266958.919496451,1569192.4958537316,715227.754079296
2013-06-01,295986.5680309,1602214.5199561375,753524.844696902
2013-09-01,297394.282839691,1647337.841591684,773111.669100159
2013-12-01,305826.630591441,1673087.7214898758,786039.350672294
2014-03-01,310057.708106228,1740621.9621564886,730744.16514714
2014-06-01,309784.665183225,1759658.2398450586,881342.23282678
2014-09-01,315240.063761851,1862772.2528738428,834297.302776168
2014-12-01,294390.782443071,1890153.0984154642,843911.686854558
2015-03-01,283713.08710226,1792503.7023781668,844763.124243879
2015-06-01,230315.176487118,1814171.1643667854,851106.790042916
2015-09-01,258319.672300626,1830193.7106284346,883759.076883116
2015-12-01,274599.501062681,1877422.0362994443,878302.911687535
2016-03-01,280018.341218096,1858991.9993585383,926547.772033765
2016-06-01,288240.927008332,1901063.5696609947,912650.468084897
2016-09-01,292828.263250691,1931121.4788029564,901464.28067809
2016-12-01,290486.081478226,1959660.107555389,907138.249040143
2017-03-01,311686.112916685,1978568.23584175,928908.761988919
2017-06-01,317827.34387486,1986121.229643496,956411.71764276
2017-09-01,319457.774339929,1977319.1800576032,987666.475899803
2017-12-01,347617.243855166,1998538.5942405397,997670.971469276
2018-03-01,335244.400583776,2006153.2726739123,1008908.47117121
2018-06-01,335829.092519556,2005849.8614758207,1021057.18560754
2018-09-01,332272.332818243,1999934.9144016658,1032739.39253141
2018-12-01,323606.174078349,2008063.9514485616,1048450.95068965
2019-03-01,315242.697024729,2017813.0746553391,1055135.88053867
2019-06-01,338652.76530064,1988215.7439733297,1061119.58398035
2019-09-01,362734.368927448,1986049.654726375,1059270.15024377
2019-12-01,351504.168747122,2011076.526645176,1062238.38523717
2020-03-01,351672.459916703,2012076.8118946478,1058294.41518548
2020-06-01,316616.720349672,1999477.5482703596,1046062.7212043
2020-09-01,269132.408179746,1978512.2847783994,1052638.79597818
2020-12-01,295913.411554006,1965174.3550549299,1056827.06763209
2021-03-01,342479.44564908,1935139.4295455813,1061529.68738215
2021-06-01,396521.607080953,1939732.1650710404,1078593.77941849
2021-09-01,435385.199086271,1948417.1912675798,1093205.19365749
2021-12-01,429071.748183387,1964369.2141156793,1105324.33954177
2022-03-01,371711.453069569,1965262.1058399677,1114314.29396219
2022-06-01,317094.777028099,2008398.975162387,1120291.99335992
2022-09-01,392006.593041141,2041547.303857565,1129490.72479349
2022-12-01,329543.176860982,2154592.615139246,1152793.98788421
2023-03-01,372661.581767826,2182586.098807335,1157312.00114678
2023-06-01,355069.301501745,2184091.52227664,1183599.76094609
2023-09-01,351955.506173194,2196584.149964094,1191200.50449444
2023-12-01,334899.636519646,2201073.858253956,1197065.82771963
