Fecha,Manufactura de productos alimenticios,Administración pública,Salud y asistencia social
2020-03-01,1601607.485813317,2012076.8118946478,1058294.41518548
2020-06-01,1437357.5578965738,1999477.5482703596,1046062.7212043
2020-09-01,1431946.5889104826,1978512.2847783994,1052638.79597818
2020-12-01,1564335.367378863,1965174.3550549299,1056827.06763209
2021-03-01,1464870.0229747163,1935139.4295455813,1061529.68738215
2021-06-01,1618859.6086476217,1939732.1650710404,1078593.77941849
2021-09-01,1727831.6395027316,1948417.1912675798,1093205.19365749
2021-12-01,1887892.7288743327,1964369.2141156793,1105324.33954177
2022-03-01,1932325.7074011723,1965262.1058399677,1114314.29396219
2022-06-01,1997240.0269309615,2008398.975162387,1120291.99335992
2022-09-01,2065557.7328118095,2041547.303857565,1129490.72479349
2022-12-01,1926802.5328556697,2154592.615139246,1152793.98788421
2023-03-01,2040632.7521030912,2182586.098807335,1157312.00114678
2023-06-01,1984351.9573070458,2184091.52227664,1183599.76094609
2023-09-01,1927606.6757203192,2196584.149964094,1191200.50449444
2023-12-01,1935184.7787425364,2201073.858253956,1197065.82771963
