Fecha,Explotación de minas y canteras,Administración pública,Salud y asistencia social
2015-09-01,1660379.0076913007,1830193.7106284346,883759.076883116
2015-12-01,1262545.0595738625,1877422.0362994443,878302.911687535
2016-03-01,1082148.998946661,1858991.9993585383,926547.772033765
2016-06-01,1240215.010380541,1901063.5696609947,912650.468084897
2016-09-01,1376457.833764214,1931121.4788029564,901464.28067809
2016-12-01,1420422.6415308279,1959660.107555389,907138.249040143
2017-03-01,1622828.545872346,1978568.23584175,928908.761988919
2017-06-01,1677121.3534463397,1986121.229643496,956411.71764276
2017-09-01,1630495.7377868576,1977319.1800576032,987666.475899803
2017-12-01,1907777.5378066204,1998538.5942405397,997670.971469276
2018-03-01,2055783.0035318367,2006153.2726739123,1008908.47117121
2018-06-01,2097450.310492005,2005849.8614758207,1021057.18560754
2018-09-01,2285911.515794767,1999934.9144016658,1032739.39253141
2018-12-01,2042646.1701798441,2008063.9514485616,1048450.95068965
2019-03-01,1860597.4450650031,2017813.0746553391,1055135.88053867
2019-06-01,2117860.1629622113,1988215.7439733297,1061119.58398035
2019-09-01,2014537.4238420594,1986049.654726375,1059270.15024377
2019-12-01,1918646.9681309618,2011076.526645176,1062238.38523717
2020-03-01,1545143.7113192687,2012076.8118946478,1058294.41518548
2020-06-01,860110.2491859375,1999477.5482703596,1046062.7212043
2020-09-01,1340830.4863642491,1978512.2847783994,1052638.79597818
2020-12-01,1384883.5531292967,1965174.3550549299,1056827.06763209
2021-03-01,1940478.2439727671,1935139.4295455813,1061529.68738215
2021-06-01,2431094.4703951776,1939732.1650710404,1078593.77941849
2021-09-01,2311720.5306983218,1948417.1912675798,1093205.19365749
2021-12-01,2350392.7549333125,1964369.2141156793,1105324.33954177
2022-03-01,2918240.9869508147,1965262.1058399677,1114314.29396219
2022-06-01,3390921.1151787043,2008398.975162387,1120291.99335992
2022-09-01,2866243.196572602,2041547.303857565,1129490.72479349
2022-12-01,2968995.7012966275,2154592.615139246,1152793.98788421
2023-03-01,2295026.2186061144,2182586.098807335,1157312.00114678
2023-06-01,2375610.51697886,2184091.52227664,1183599.76094609
2023-09-01,2898756.9359983206,2196584.149964094,1191200.50449444
2023-12-01,2622984.6465095878,2201073.858253956,1197065.82771963
